name,X,Y,height,width
Duisburg,750408.4153,6663277.647,32421.875,90000
Assen,728142.9524,6947849.586,32421.875,62000
MÅnster,847259.0901,6760096.795,32421.875,86000
Lille,341648.3209,6525888.316,32421.875,44000
Koblenz,845027.0835,6473276.034,32421.875,84000
Eindhoven,611258.9159,6663277.647,32421.875,104000
Wuppertal,797159.7478,6631292.753,32421.875,106000
Bonn,787144.4814,6537898.628,32421.875,54000
Diekirch,685474.077,6392395.056,32421.875,84000
Utrecht,568960.0913,6783550.473,32421.875,76000
Liege,620163.9316,6522051.232,32421.875,52000
Antwerpen,490260.8376,6626382.483,32421.875,112000
Amsterdam,546101.2688,6829153.495,32421.875,114000
Haarlem,514408.2412,6834339.409,32421.875,82000
The Hague,474329.9179,6779880.295,32421.875,106000
Arlon,646512.1346,6358010.652,32421.875,58000
Gent,410884.5572,6592360.39,32421.875,50000
Rotterdam,497491.8484,6751362.014,32421.875,104000
Zwolle,677714.5489,6860498.663,32421.875,70000
Dortmund,828333.0554,6681104.341,32421.875,102000
Arras,308839.29,6461600.959,32421.875,56000
Arnhem,658345.2953,6763267.842,32421.875,80000
Saarbr¸cken,774897.2085,6284066.73,32421.875,118000
Middelburg,400863.3106,6676113.793,32421.875,114000
Brussels,481165.9863,6558055.769,32421.875,84000
Namur,541129.0409,6494165.424,32421.875,68000
Metz,686957.3021,6261982.05,32421.875,56000
DÅ¸sseldorf,753744.9199,6626037.542,32421.875,108000
Maastricht,630961.0249,6561173.862,32421.875,108000
Mons,437487.8706,6489911.578,32421.875,60000
's-Hertogenbosch,590847.9379,6708523.467,32421.875,168000
Luxembourg,681388.791,6345728.171,32421.875,120000
Groningen,731482.3806,6988624.123,32421.875,102000
Brugge,358564.7136,6626037.542,32421.875,68000
Essen,780086.0484,6666844.448,32421.875,58000
Reims,447614.8707,6284066.73,32421.875,62000
Leeuwarden,642800.3895,6994185.206,32421.875,118000
Cologne,772454.3426,6575070.115,32421.875,80000
Emden,802354.3403,7015800.307,32421.875,68000
Charleroi,494371.9558,6485449.423,32421.875,90000
Grevenmacher,704019.795,6360875.465,32421.875,140000
Hasselt,609475.816,6580718.574,32421.875,74000
